NÄƒm,Chu_Ky_Tin_Dung,Chu_Ky_Bat_Dong_San,Chu_Ky_Chung_Khoan,Chu_Ky_Chien_Tranh,Chu_Ky_Nang_Luong,Chu_Ky_Thien_Tai
2020,-0.85,0.45,-0.92,-0.15,0.35,-0.75
2021,-0.42,0.78,-0.31,0.25,0.67,-0.12
2022,0.23,0.89,0.45,0.78,0.95,0.34
2023,0.71,0.34,0.87,0.12,0.23,0.89
2024,0.95,-0.12,0.65,-0.45,-0.34,0.45
2025,0.67,-0.67,0.12,-0.78,-0.89,-0.23
2026,0.12,-0.95,-0.45,-0.34,-0.67,-0.78
2027,-0.34,-0.78,-0.89,0.23,0.12,0.34
2028,-0.78,-0.23,-0.67,0.89,0.78,0.89
2029,-0.95,0.45,-0.12,0.45,0.95,0.12
2030,-0.45,0.95,0.78,-0.23,0.34,-0.45
2031,0.12,0.67,0.95,-0.89,-0.12,-0.89
2032,0.67,0.12,0.34,-0.67,-0.78,-0.34
2033,0.95,-0.45,-0.23,-0.12,-0.95,0.23
2034,0.78,-0.89,-0.78,0.67,-0.45,0.78
2035,0.23,-0.34,-0.95,0.95,0.23,0.95
